zip,State,cohort_population,total_population,pop_density,total_population_2019,cohort_population_2019,pop_density_2019,cohort_pop_change,cohort_pop_change_pc,pc_total_ethnicity,c_p_rank,c_pd_rank,c_yoy_rank,zip_code_rank
7026,NJ,235,32237,0.73%,31224,108,0.35%,1013,937.96%,0.01%,75053,4981,3030,2315
7024,NJ,4149,37752,10.99%,36095,3580,9.92%,1657,46.28%,0.09%,15737,287,5652,92
7023,,124,9072,1.37%,9243,85,0.92%,-171,-201.18%,0.00%,96365,3043,34769,5251
7021,,27,2781,0.97%,2503,14,0.56%,278,1985.71%,0.00%,149908,4028,2008,6652
7020,NJ,1241,14181,8.75%,12616,761,6.03%,1565,205.65%,0.03%,32849,407,4783,356
7018,NJ,52,13525,0.38%,12440,62,0.50%,1085,1750.00%,0.00%,127257,7173,2186,5648
7017,NJ,31,16677,0.19%,17390,32,0.18%,-713,-2228.12%,0.00%,145282,9313,37638,9161
7016,NJ,171,30749,0.56%,29476,182,0.62%,1273,699.45%,0.00%,85456,5870,3437,2984
7014,NJ,18,3538,0.51%,4961,51,1.03%,-1423,-2790.20%,0.00%,162669,6201,37927,9840
7013,NJ,519,32489,1.60%,29317,492,1.68%,3172,644.72%,0.01%,52287,2610,3537,1040
7012,NJ,49,14817,0.33%,12786,98,0.77%,2031,2072.45%,0.00%,129358,7663,1947,5818
7011,NJ,129,39598,0.33%,39807,141,0.35%,-209,-148.23%,0.00%,94974,7712,34548,5716
7010,NJ,948,25830,3.67%,25715,513,1.99%,115,22.42%,0.02%,38146,1158,5836,536
7009,NJ,138,12801,1.08%,13534,48,0.35%,-733,-1527.08%,0.00%,92690,3708,37153,5253
7008,NJ,47,25533,0.18%,23453,108,0.46%,2080,1925.93%,0.00%,130841,9333,2052,6125
7006,NJ,673,30478,2.21%,27866,333,1.20%,2612,784.38%,0.02%,45796,1937,3281,747
7005,NJ,229,17067,1.34%,18334,253,1.38%,-1267,-500.79%,0.01%,75898,3086,35698,4011
7004,NJ,40,8941,0.45%,8642,125,1.45%,299,239.20%,0.00%,136542,6643,4641,6302
7003,NJ,723,49761,1.45%,47286,501,1.06%,2475,494.01%,0.02%,44098,2888,3882,770
7002,NJ,478,75735,0.63%,69241,525,0.76%,6494,1236.95%,0.01%,54377,5443,2642,1338
