zip,State,cohort_population,total_population,pop_density,total_population_2019,cohort_population_2019,pop_density_2019,cohort_pop_change,cohort_pop_change_pc,pc_total_ethnicity,c_p_rank,c_pd_rank,c_yoy_rank,zip_code_rank
82801,WY,191,19343,0.99%,17856,21,0.12%,1487,7080.95%,0.00%,81776,3972,668,2452
82701,WY,15,4956,0.30%,4788,24,0.50%,168,700.00%,0.00%,168033,7940,3429,8315
82609,WY,9,16236,0.06%,16214,20,0.12%,22,110.00%,0.00%,181716,11231,5229,9645
82604,WY,65,21680,0.30%,24299,73,0.30%,-2619,-3587.67%,0.00%,119363,7976,38210,7522
82601,WY,30,25676,0.12%,22787,66,0.29%,2889,4377.27%,0.00%,146389,10297,1072,7166
82501,WY,3,15315,0.02%,15336,0,0.00%,-21,0.00%,0.00%,200287,11719,6033,11642
82435,WY,5,11403,0.04%,10568,32,0.30%,835,2609.37%,0.00%,193878,11419,1657,10998
82426,WY,10,3752,0.27%,3465,9,0.26%,287,3188.89%,0.00%,179075,8339,1429,8897
82421,,1,250,0.40%,254,1,0.39%,-4,-400.00%,0.00%,207192,7029,35448,38480
82410,WY,3,2306,0.13%,2324,3,0.13%,-18,-600.00%,0.00%,200287,10087,35901,38469
82334,,5,786,0.64%,514,0,0.00%,272,0.00%,0.00%,193878,5422,6033,9709
82331,WY,7,2663,0.26%,2448,8,0.33%,215,2687.50%,0.00%,187653,8373,1627,9449
82210,,3,143,2.10%,345,4,1.16%,-202,-5050.00%,0.00%,200287,2022,38548,38156
82190,,35,1175,2.98%,1198,32,2.67%,-23,-71.87%,0.00%,141014,1444,34151,7774
82072,WY,428,17622,2.43%,16617,285,1.72%,1005,352.63%,0.01%,57379,1756,4256,1225
82070,WY,314,19716,1.59%,21474,166,0.77%,-1758,-1059.04%,0.01%,66053,2617,36679,3432
82009,WY,60,33510,0.18%,31828,51,0.16%,1682,3298.04%,0.00%,122227,9397,1383,5557
82007,WY,26,20046,0.13%,19673,0,0.00%,373,0.00%,0.00%,151134,10094,6033,7734
82001,WY,50,37107,0.13%,34927,33,0.09%,2180,6606.06%,0.00%,128647,10013,716,5992
81657,CO,12,4839,0.25%,5558,29,0.52%,-719,-2479.31%,0.00%,174279,8557,37784,11610
81652,CO,7,4691,0.15%,4337,0,0.00%,354,0.00%,0.00%,187653,9821,6033,9867
81650,CO,33,12035,0.27%,12231,53,0.43%,-196,-369.81%,0.00%,143140,8251,35360,8780
81639,CO,21,2493,0.84%,2278,0,0.00%,215,0.00%,0.00%,157857,4478,6033,7476
81635,CO,5,6696,0.07%,6648,0,0.00%,48,0.00%,0.00%,193878,10931,6033,11189
81632,CO,79,9697,0.81%,9140,0,0.00%,557,0.00%,0.00%,112263,4590,6033,4655
81623,CO,81,16984,0.48%,17538,18,0.10%,-554,-3077.78%,0.00%,111358,6432,38027,6801
81621,CO,2,5443,0.04%,5113,23,0.45%,330,1434.78%,0.00%,203648,11531,2456,11607
81611,CO,207,9898,2.09%,11015,61,0.55%,-1117,-1831.15%,0.00%,79103,2025,37399,4202
81601,CO,80,15477,0.52%,15082,34,0.23%,395,1161.76%,0.00%,111786,6152,2731,4618
81520,CO,66,12313,0.54%,13423,54,0.40%,-1110,-2055.56%,0.00%,118785,6012,37541,7181
81507,CO,199,17086,1.16%,15504,115,0.74%,1582,1375.65%,0.00%,80432,3498,2514,2432
81505,CO,111,11621,0.96%,10280,124,1.21%,1341,1081.45%,0.00%,100233,4079,2827,3618
81504,CO,172,27344,0.63%,25790,33,0.13%,1554,4709.09%,0.00%,85269,5462,1003,2793
81503,CO,7,14892,0.05%,13828,19,0.14%,1064,5600.00%,0.00%,187653,11366,855,9741
81501,CO,12,21181,0.06%,22463,30,0.13%,-1282,-4273.33%,0.00%,174279,11215,38382,12089
81435,CO,9,4703,0.19%,5105,75,1.47%,-402,-536.00%,0.00%,181716,9246,35770,12260
81432,CO,8,2863,0.28%,2926,0,0.00%,-63,0.00%,0.00%,184591,8184,6033,9506
81424,CO,1,547,0.18%,755,3,0.40%,-208,-6933.33%,0.00%,207192,9350,38814,38632
81416,CO,1,10693,0.01%,10638,89,0.84%,55,61.80%,0.00%,207192,11830,5558,12337
81403,,25,9969,0.25%,9734,11,0.11%,235,2136.36%,0.00%,152390,8516,1900,7378
81321,CO,68,11308,0.60%,13301,108,0.81%,-1993,-1845.37%,0.00%,117695,5619,37412,7060
81303,CO,9,9247,0.10%,7250,33,0.46%,1997,6051.52%,0.00%,181716,10599,802,9301
81301,CO,77,25857,0.30%,26653,95,0.36%,-796,-837.89%,0.00%,113180,7998,36364,7008
81240,CO,16,3862,0.41%,3517,9,0.26%,345,3833.33%,0.00%,166155,6892,1210,7955
81212,CO,60,23605,0.25%,24011,49,0.20%,-406,-828.57%,0.00%,122227,8477,36348,7628
81201,CO,14,9046,0.15%,9358,12,0.13%,-312,-2600.00%,0.00%,170039,9745,37845,11517
81147,CO,23,10819,0.21%,10810,26,0.24%,9,34.62%,0.00%,155040,8973,5726,7807
81122,CO,13,8322,0.16%,6998,3,0.04%,1324,44133.33%,0.00%,172102,9724,47,8592
81101,CO,47,13745,0.34%,12256,54,0.44%,1489,2757.41%,0.00%,130841,7534,1593,5876
81082,CO,4,11714,0.03%,11663,4,0.03%,51,1275.00%,0.00%,196976,11562,2613,11246
81052,CO,17,7861,0.22%,7801,9,0.12%,60,666.67%,0.00%,164328,8928,3489,8225
81050,CO,4,9821,0.04%,8623,130,1.51%,1198,921.54%,0.00%,196976,11468,3055,11263
81047,CO,2,1446,0.14%,1339,0,0.00%,107,0.00%,0.00%,203648,9966,6033,11629
81007,CO,41,33692,0.12%,32857,8,0.02%,835,10437.50%,0.00%,135641,10229,413,6441
81006,CO,167,11031,1.51%,11750,137,1.17%,-719,-524.82%,0.00%,86269,2772,35747,4661
81005,CO,47,32105,0.15%,30523,75,0.25%,1582,2109.33%,0.00%,130841,9857,1920,6185
81004,CO,59,24617,0.24%,24877,47,0.19%,-260,-553.19%,0.00%,122882,8651,35809,7659
81001,CO,47,27353,0.17%,27860,34,0.12%,-507,-1491.18%,0.00%,130841,9500,37126,8293
